,journal_name,frequency
200,Antiviral research,3
201,Matrix biology : journal of the International Society for Matrix Biology,16
202,Current genetics,2
203,"Molecular endocrinology (Baltimore, Md.)",1
204,Glycobiology,8
205,BMC cancer,12
206,Zebrafish,1
207,EMBO molecular medicine,27
208,Cell systems,32
209,Nature immunology,19
210,The Journal of clinical endocrinology and metabolism,3
211,Transfusion,1
212,Molecular neurobiology,9
213,Journal of hazardous materials,5
214,Investigative ophthalmology &amp; visual science,10
215,Journal of muscle research and cell motility,1
216,"Pathogens (Basel, Switzerland)",16
217,The international journal of neuropsychopharmacology,2
218,Chemical research in toxicology,5
219,"G3 (Bethesda, Md.)",8
220,Cancer genomics &amp; proteomics,5
221,Journal of ethnopharmacology,4
222,MicrobiologyOpen,4
223,Theranostics,22
224,Nephron,1
225,RNA biology,10
226,Biochimie,4
227,International journal of medical microbiology : IJMM,4
228,Biomaterials,7
229,International journal of oncology,4
230,Clinica chimica acta; international journal of clinical chemistry,3
231,JCI insight,27
232,Human genetics,1
233,European cells &amp; materials,2
234,Oncotarget,52
235,International journal of molecular sciences,353
236,Cell chemical biology,56
237,Journal of neurochemistry,8
238,Nature chemical biology,39
239,Biotechnology for biofuels,19
240,Cancer cell,20
241,Journal of evolutionary biology,2
242,Alzheimer's research &amp; therapy,3
243,Journal of clinical periodontology,2
244,Nutrition &amp; diabetes,5
245,Molecular and cellular neurosciences,3
246,Science translational medicine,23
247,The Journal of clinical investigation,30
248,Neurobiology of aging,2
249,Genetics,7
250,Brain research,2
251,Molecular brain,11
252,Stem cell research &amp; therapy,11
253,Cardiovascular research,5
254,Food chemistry,8
255,The Journal of experimental medicine,13
256,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,1
257,The New England journal of medicine,1
258,Molecular neurodegeneration,12
259,Biology of sex differences,3
260,BMC research notes,4
261,The Journal of heart transplantation,1
262,American journal of physiology. Renal physiology,7
263,European urology,7
264,Oncogene,27
265,Plant biotechnology journal,4
266,Methods in enzymology,1
267,Neuron,12
268,ACS synthetic biology,3
269,The international journal of biochemistry &amp; cell biology,1
270,mSystems,20
271,Biotechnology and bioengineering,4
272,Microbiome,26
273,Clinical chemistry and laboratory medicine,2
274,Food &amp; function,2
275,Nature microbiology,32
276,Systematic and applied microbiology,2
277,"Chemical communications (Cambridge, England)",6
278,Analytica chimica acta,5
279,Biomarker insights,2
280,PeerJ,16
281,Journal of chromatography. A,5
282,Proteins,10
283,FEBS open bio,7
284,The Journal of allergy and clinical immunology,2
285,Autophagy,14
286,The Journal of antimicrobial chemotherapy,2
287,Journal of Alzheimer's disease : JAD,5
288,"Yeast (Chichester, England)",2
289,"Reproduction (Cambridge, England)",2
290,Oncoimmunology,7
291,Protist,2
292,Analytical biochemistry,8
293,European journal of clinical investigation,1
294,Biochimica et biophysica acta. Proteins and proteomics,19
295,Plant science : an international journal of experimental plant biology,3
296,Neurobiology of disease,13
297,Circulation research,14
298,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",1
299,Reproductive biology,1
300,Thrombosis research,1
301,Cancer biology &amp; therapy,3
302,Proteomes,50
303,Inhalation toxicology,1
304,Regulatory toxicology and pharmacology : RTP,2
305,Wellcome open research,5
306,International journal of cancer,6
307,Stem cells and development,2
308,Aging,11
309,Leukemia,25
310,Annals of oncology : official journal of the European Society for Medical Oncology,1
311,BMC molecular biology,1
312,The Journal of pathology,8
313,Rapid communications in mass spectrometry : RCM,15
314,"Molecules (Basel, Switzerland)",46
315,Frontiers in molecular neuroscience,17
316,DNA research : an international journal for rapid publication of reports on genes and genomes,2
317,The Journal of nutritional biochemistry,3
318,Journal of assisted reproduction and genetics,2
319,"Aquatic toxicology (Amsterdam, Netherlands)",5
320,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,3
321,"Chemistry (Weinheim an der Bergstrasse, Germany)",18
322,BMC medicine,2
323,GigaScience,13
324,Toxicon : official journal of the International Society on Toxinology,7
325,Briefings in bioinformatics,2
326,Frontiers in physiology,32
327,Epigenetics &amp; chromatin,5
328,Circulation. Cardiovascular genetics,2
329,Frontiers in oncology,35
330,Cellular microbiology,11
331,Microbial biotechnology,5
332,New biotechnology,2
333,"Development (Cambridge, England)",11
334,Science immunology,9
335,Physiological reports,5
336,Immunity,15
337,Anaerobe,2
338,Frontiers in cellular and infection microbiology,60
339,Biochimica et biophysica acta. General subjects,2
340,Molecular cancer therapeutics,5
341,The New phytologist,17
342,Cellular signalling,3
343,Cell death discovery,12
344,Acta ophthalmologica,1
345,Frontiers in neurology,8
346,Biology of the cell,1
347,Journal of translational medicine,10
348,Biology open,4
349,The European respiratory journal,4
350,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,1
351,The Journal of physiology,3
352,Human mutation,2
353,"Dalton transactions (Cambridge, England : 2003)",1
354,Molecular immunology,3
355,American journal of physiology. Heart and circulatory physiology,5
356,ChemMedChem,3
357,Environmental microbiology reports,11
358,The Journal of infectious diseases,3
359,Diabetes,2
360,Cancer medicine,3
361,Seminars in immunology,1
362,EBioMedicine,31
363,Journal of leukocyte biology,2
364,Photosynthesis research,4
365,Seminars in cell &amp; developmental biology,1
366,Protein science : a publication of the Protein Society,3
367,Mycorrhiza,1
368,International journal of ophthalmology,1
369,Physiological genomics,6
370,Arthritis research &amp; therapy,4
371,Cancer &amp; metabolism,2
372,Clinical epigenetics,6
373,Molecular nutrition &amp; food research,3
374,"RNA (New York, N.Y.)",10
375,Insect molecular biology,2
376,Neurochemistry international,1
377,Frontiers in immunology,94
378,Endocrinology,2
379,Frontiers in chemistry,23
380,Veterinary research,2
381,Phytochemistry,1
382,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,6
383,Journal of neuroinflammation,7
384,Aging cell,12
385,The Journal of investigative dermatology,11
386,The Science of the total environment,16
387,Virulence,11
388,Chromosoma,1
389,Molecular human reproduction,9
390,Journal of dental research,1
391,Journal of molecular biology,20
392,Behavioural brain research,2
393,Phytomedicine : international journal of phytotherapy and phytopharmacology,1
394,British journal of haematology,3
395,ACS central science,11
396,Free radical biology &amp; medicine,8
397,no Esummary,1690
398,Phytochemical analysis : PCA,1
399,"European journal of mass spectrometry (Chichester, England)",2
400,Molecular autism,2
401,Metabolic engineering,6
402,Viruses,23
403,Journal of neuropathology and experimental neurology,1
404,Biomeditsinskaia khimiia,3
405,Journal of cellular biochemistry,4
406,Cell research,8
407,"Neoplasia (New York, N.Y.)",6
408,Journal of Cancer,3
409,Brain : a journal of neurology,8
410,Molecular cancer research : MCR,17
411,Stem cell reports,17
412,Breast cancer research : BCR,5
413,International journal for parasitology,1
414,Journal of breath research,1
415,Gene,3
416,International journal of obesity (2005),2
417,Chembiochem : a European journal of chemical biology,16
418,Cell &amp; bioscience,6
419,Oncology letters,2
420,Connective tissue research,2
421,Nature ecology &amp; evolution,5
422,Animal reproduction science,1
423,Acta neuropathologica,15
424,Biochimica et biophysica acta. Molecular cell research,5
425,mSphere,11
426,Archives of biochemistry and biophysics,2
427,"Medical sciences (Basel, Switzerland)",1
428,Molecular metabolism,15
429,Cancer discovery,10
430,Toxicology letters,1
431,Antimicrobial agents and chemotherapy,6
432,ACS infectious diseases,19
433,Frontiers in zoology,1
434,Molecular therapy oncolytics,2
435,Innate immunity,1
436,Journal of anatomy,1
437,Human &amp; experimental toxicology,1
438,"Hepatology (Baltimore, Md.)",13
439,Vaccine,2
440,American journal of ophthalmology,1
441,The American journal of gastroenterology,1
442,The Prostate,3
443,Clinical and experimental pharmacology &amp; physiology,1
444,Oncoscience,1
445,Glia,4
446,Biochemistry,8
447,Journal of cell communication and signaling,5
448,Platelets,1
449,Journal of pharmaceutical and biomedical analysis,2
450,Acta neuropathologica communications,14
451,Clinical biochemistry,3
452,Molecular pharmaceutics,2
453,Journal of experimental &amp; clinical cancer research : CR,11
454,Theriogenology,7
455,Drug metabolism and pharmacokinetics,1
456,Redox biology,33
457,Frontiers in neuroscience,5
458,Nature chemistry,11
459,Clinical cancer research : an official journal of the American Association for Cancer Research,12
460,"Rheumatology (Oxford, England)",1
461,Journal of neuroimmunology,2
462,Plant molecular biology,2
463,Nature plants,14
464,Journal of inorganic biochemistry,1
465,Journal of animal science,1
466,Atherosclerosis,3
467,Reproduction in domestic animals = Zuchthygiene,2
468,Kidney international,14
469,Frontiers in pharmacology,52
470,Microvascular research,1
471,NPJ biofilms and microbiomes,6
472,Molecular and cellular biochemistry,1
473,Acta biologiae experimentalis,1
474,"Structure (London, England : 1993)",17
475,Biological psychiatry,2
476,International journal of food microbiology,2
477,Experimental &amp; molecular medicine,4
478,The Lancet. Oncology,1
479,Biotechnology journal,1
480,ACS omega,48
481,European journal of oral sciences,1
482,Meat science,1
483,Neurology,2
484,Proceedings. Biological sciences,3
485,Advances in biological regulation,1
486,Life science alliance,16
487,Acta anaesthesiologica Scandinavica,1
488,Bioscience reports,12
489,Microbiological research,4
490,BMC developmental biology,1
491,Haematologica,12
492,Molecular carcinogenesis,2
493,Basic research in cardiology,6
494,Experimental cell research,1
495,ACS applied materials &amp; interfaces,1
496,Molecular omics,17
497,Plant methods,2
498,Translational oncology,4
499,Blood advances,13
500,Bioorganic chemistry,2
501,Communications biology,112
502,Critical care medicine,1
503,Molecular neuropsychiatry,3
504,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,1
505,Drug metabolism and disposition: the biological fate of chemicals,1
506,Science advances,95
507,Molecular therapy. Nucleic acids,3
508,Toxicology research,1
509,Plant signaling &amp; behavior,1
510,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,1
511,Molecules and cells,2
512,Stem cell research,2
513,Frontiers in cell and developmental biology,94
514,BMC biotechnology,1
515,Frontiers in molecular biosciences,37
516,AMB Express,6
517,Journal of biomolecular techniques : JBT,2
518,The Journal of comparative neurology,1
519,Molecular psychiatry,4
520,iScience,88
521,Emerging microbes &amp; infections,7
522,Disease models &amp; mechanisms,7
523,"Tuberculosis (Edinburgh, Scotland)",4
524,Future microbiology,1
525,Cellular &amp; molecular immunology,3
526,Chemical science,10
527,Global change biology,2
528,Gut,3
529,Frontiers in cellular neuroscience,11
530,Journal of clinical lipidology,1
531,Journal of dermatological science,2
532,Genomics data,1
533,Journal of cellular physiology,3
534,Diabetes care,1
535,Nanotoxicology,4
536,JBMR plus,1
537,Biochimica et biophysica acta. Molecular basis of disease,4
538,Microbiology resource announcements,2
539,FEMS yeast research,3
540,Journal of insect science (Online),3
541,Oxidative medicine and cellular longevity,5
542,Fish &amp; shellfish immunology,1
543,"American journal of reproductive immunology (New York, N.Y. : 1989)",1
544,BMC complementary and alternative medicine,1
545,"Food research international (Ottawa, Ont.)",2
546,Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie,3
547,Cells,99
548,Molecular plant pathology,3
549,Journal of agricultural and food chemistry,5
550,Ecotoxicology and environmental safety,2
551,The Journal of experimental biology,3
552,Hepatology communications,1
553,Archives of toxicology,11
554,Frontiers in aging neuroscience,13
555,Journal of peptide science : an official publication of the European Peptide Society,1
556,"Environmental pollution (Barking, Essex : 1987)",2
557,Fertility and sterility,1
558,Biochimica et biophysica acta. Molecular and cell biology of lipids,1
559,Genes,14
560,"Journal of fungi (Basel, Switzerland)",17
561,Alzheimer's &amp; dementia : the journal of the Alzheimer's Association,5
562,Nutrients,15
563,Journal of the neurological sciences,1
564,Journal of biochemistry,1
565,Molecular vision,1
566,European journal of cell biology,2
567,Journal of cellular and molecular medicine,9
568,Cancers,103
569,Journal of applied microbiology,2
570,Journal of hypertension,2
571,Evolution &amp; development,1
572,Brain stimulation,1
573,Microbial genomics,2
574,Toxins,24
575,Biotechnology progress,1
576,Journal of biomechanics,1
577,International journal of nanomedicine,1
578,Cytotherapy,1
579,Journal of lipid research,11
580,Chemosphere,6
581,Forensic science international. Genetics,4
582,Experimental parasitology,1
583,Free radical research,1
584,Annals of clinical and translational neurology,2
585,"Antioxidants (Basel, Switzerland)",29
586,Food microbiology,1
587,NPJ vaccines,7
588,Journal of neuroscience research,2
589,Journal of thermal biology,1
590,Evidence-based complementary and alternative medicine : eCAM,1
591,Toxicology,2
592,Neurogenetics,2
593,Extremophiles : life under extreme conditions,1
594,American journal of respiratory cell and molecular biology,3
595,Therapeutic advances in medical oncology,1
596,Biochimica et biophysica acta. Biomembranes,1
597,"Cancer immunology, immunotherapy : CII",2
598,Diabetologia,1
599,Marine drugs,8
600,Molecular ecology resources,3
601,Journal of Crohn's &amp; colitis,3
602,Neuro-oncology,3
603,Molecular and cellular endocrinology,2
604,Ecology and evolution,2
605,Integrative biology : quantitative biosciences from nano to macro,1
606,"Allergy, asthma &amp; immunology research",2
607,"Parasite (Paris, France)",1
608,"Nanomaterials (Basel, Switzerland)",3
609,British medical journal (Clinical research ed.),1
610,FEBS letters,13
611,American journal of physiology. Lung cellular and molecular physiology,2
612,American journal of physiology. Endocrinology and metabolism,2
613,Translational neurodegeneration,1
614,Frontiers in nutrition,15
615,Circulation. Genomic and precision medicine,1
616,The Biological bulletin,1
617,Fungal biology and biotechnology,1
618,Nature metabolism,9
619,Journal of clinical medicine,11
620,Attention deficit and hyperactivity disorders,1
621,Nature biomedical engineering,2
622,Mobile DNA,2
623,American journal of human genetics,4
624,Therapeutic advances in chronic disease,1
625,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2
626,Biochemistry. Biokhimiia,2
627,IUBMB life,1
628,"Rice (New York, N.Y.)",3
629,Microorganisms,44
630,"Cytoskeleton (Hoboken, N.J.)",1
631,Annals of the rheumatic diseases,2
632,Liver international : official journal of the International Association for the Study of the Liver,3
633,Lab on a chip,1
634,Biophysical journal,3
635,Allergy,2
636,Analytical cellular pathology (Amsterdam),1
637,Translational vision science &amp; technology,2
638,American journal of translational research,2
639,"Cell cycle (Georgetown, Tex.)",1
640,Translational psychiatry,3
641,Disease markers,2
642,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",12
643,Biology,12
644,mAbs,1
645,Biochemistry insights,1
646,Experimental neurobiology,1
647,The journal of pathology. Clinical research,1
648,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",5
649,Research and practice in thrombosis and haemostasis,2
650,Communicative &amp; integrative biology,1
651,Journal for immunotherapy of cancer,8
652,Horticulture research,8
653,Molecular reproduction and development,1
654,Prostaglandins &amp; other lipid mediators,1
655,3 Biotech,1
656,Biochimica et biophysica acta. Bioenergetics,4
657,Frontiers in bioengineering and biotechnology,19
658,Progress in biophysics and molecular biology,2
659,BMC neuroscience,1
660,International journal of biological macromolecules,6
661,Plant direct,4
662,Journal of integrative plant biology,1
663,Developmental biology,3
664,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,1
665,Cancer immunology research,2
666,"Journal of the Royal Society, Interface",1
667,"Acta physiologica (Oxford, England)",1
668,Acta biomaterialia,5
669,Oncogenesis,6
670,Cancer letters,2
671,BMC molecular and cell biology,4
672,American journal of clinical and experimental urology,1
673,Journal of structural biology,1
674,NPJ Regenerative medicine,3
675,Cell biology and toxicology,1
676,bioRxiv : the preprint server for biology,4
677,"Genomics, proteomics &amp; bioinformatics",7
678,ChemSusChem,1
679,"Journal of cachexia, sarcopenia and muscle",4
680,Journal of dairy science,1
681,ImmunoHorizons,1
682,Frontiers in veterinary science,10
683,International ophthalmology,1
684,The oncologist,2
685,Epigenetics,3
686,Pharmaceutics,6
687,Journal of nanobiotechnology,6
688,FASEB bioAdvances,1
689,EuPA open proteomics,1
690,Parasitology,2
691,Stem cells international,2
692,Angiogenesis,1
693,Cancer cell international,5
694,Mediators of inflammation,1
695,Journal of natural products,2
696,Animals : an open access journal from MDPI,5
697,Cancer science,1
698,Heliyon,4
699,Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry,1
700,Journal of medicinal chemistry,5
701,Frontiers in neuroanatomy,1
702,Forensic science international,2
703,Protein expression and purification,1
704,NPJ aging and mechanisms of disease,2
705,Life sciences,2
706,"Plants (Basel, Switzerland)",21
707,Veterinary parasitology,1
708,Memorias do Instituto Oswaldo Cruz,1
709,BioImpacts : BI,1
710,Experimental brain research,1
711,Epilepsy research,2
712,Folia biologica,1
713,Gut microbes,11
714,Biomedicines,23
715,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,1
716,Fungal biology,1
717,Scandinavian journal of immunology,1
718,Carcinogenesis,1
719,British journal of pharmacology,1
720,Cellular oncology (Dordrecht),2
721,Toxicology and applied pharmacology,1
722,Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],1
723,Neuropharmacology,1
724,Journal of hepatology,7
725,"The journal of nutrition, health &amp; aging",1
726,Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],1
727,The journal of venomous animals and toxins including tropical diseases,1
728,MethodsX,2
729,Placenta,1
730,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,1
731,Medicine,1
732,European heart journal,1
733,Cytokine,1
734,Journal of human hypertension,1
735,Metabolites,13
736,Medical microbiology and immunology,1
737,Brain research bulletin,1
738,Journal of pharmaceutical sciences,1
739,Human pathology,1
740,Movement disorders : official journal of the Movement Disorder Society,1
741,Cell and tissue research,2
742,Xenotransplantation,1
743,Circulation. Heart failure,2
744,Journal of biomedical science,4
745,Biomedical chromatography : BMC,1
746,Gastroenterology,1
747,European journal of immunology,1
748,"Foods (Basel, Switzerland)",8
749,American journal of physical anthropology,1
750,microPublication biology,1
751,Cell biology international,1
752,Wound repair and regeneration : official publication of the Wound Healing Society [and] the European Tissue Repair Society,2
753,Vaccines,2
754,BMC medical informatics and decision making,1
755,Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,1
756,Skeletal muscle,3
757,Neurology(R) neuroimmunology &amp; neuroinflammation,3
758,Immunology,2
759,Virology,1
760,Nature cancer,8
761,Osteoarthritis and cartilage,2
762,Talanta,1
763,Clinical &amp; translational immunology,2
764,Bioresource technology,1
765,Environmental science and pollution research international,2
766,"Hypertension (Dallas, Tex. : 1979)",2
767,Environmental microbiome,1
768,NPJ breast cancer,8
769,Pain,3
770,Frontiers in medicine,11
771,Cryobiology,1
772,"Urine (Amsterdam, Netherlands)",1
773,International journal for parasitology. Drugs and drug resistance,2
774,Journal of medical genetics,1
775,"Tissue engineering. Part C, Methods",1
776,Environmental research,1
777,Biomedical reports,1
778,"One health (Amsterdam, Netherlands)",1
779,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,1
780,Neuro-oncology advances,2
781,Archaeological and anthropological sciences,2
782,ACS chemical neuroscience,2
783,Stem cell reviews and reports,1
784,Journal of Huntington's disease,1
785,"Endocrinology, diabetes &amp; metabolism",1
786,Kidney360,3
787,JACS Au,2
788,ChemRxiv : the preprint server for chemistry,1
789,"Brain, behavior, and immunity",1
790,"Function (Oxford, England)",3
791,Histochemistry and cell biology,1
792,"Antibiotics (Basel, Switzerland)",2
793,Orphanet journal of rare diseases,3
794,Bone,1
795,Environment international,2
796,Experimental physiology,1
797,Veterinary microbiology,2
798,Cell reports methods,1
799,Journal of personalized medicine,6
800,Matrix biology plus,1
801,"Cell surface (Amsterdam, Netherlands)",1
802,Current research in immunology,1
803,"Brain pathology (Zurich, Switzerland)",3
804,Molecular cancer,6
805,Journal of advanced research,6
806,"Clinical ophthalmology (Auckland, N.Z.)",1
807,Ticks and tick-borne diseases,1
808,Molecular and cellular pediatrics,1
809,BMC neurology,2
810,Therapeutic advances in musculoskeletal disease,2
811,Chemico-biological interactions,1
812,Genetics and molecular biology,1
813,GeroScience,3
814,International journal of endocrinology,1
815,Neurochemical research,2
816,Emerging infectious diseases,2
817,Molecular therapy. Methods &amp; clinical development,2
818,Cell discovery,4
819,Clinical and translational medicine,13
820,Molecular medicine reports,2
821,STAR protocols,2
822,Neural regeneration research,2
823,Fly,1
824,Progress in orthodontics,1
825,Frontiers in cardiovascular medicine,12
826,Neurospine,1
827,Bone research,1
828,NAR cancer,7
829,Computational and structural biotechnology journal,8
830,NAR genomics and bioinformatics,1
831,Cancer gene therapy,2
832,"Materials (Basel, Switzerland)",1
833,"Patterns (New York, N.Y.)",1
834,RSC chemical biology,2
835,Clinical &amp; experimental metastasis,1
836,BMC ecology and evolution,1
837,Cell reports. Medicine,6
838,Journal of pineal research,1
839,Journal of gastroenterology,1
840,NPJ Parkinson's disease,6
841,The World Allergy Organization journal,1
842,NPJ science of food,1
843,Pharmaceutical biology,1
844,Stem cells translational medicine,1
845,"Journal of immunotherapy (Hagerstown, Md. : 1997)",1
846,Royal Society open science,2
847,NPJ genomic medicine,4
848,"Biotechnology reports (Amsterdam, Netherlands)",1
849,JHEP reports : innovation in hepatology,1
850,"Life (Basel, Switzerland)",9
851,BMC veterinary research,3
852,HemaSphere,2
853,Membranes,2
854,Frontiers in public health,1
855,International journal of medical sciences,1
856,Environmental science. Nano,1
857,Blood cancer journal,2
858,Cellular and molecular neurobiology,3
859,Thorax,1
860,Genomics,2
861,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,1
862,Microbiology spectrum,15
863,International journal of environmental research and public health,3
864,Computers in biology and medicine,1
865,Biochemistry and biophysics reports,1
866,Brain and behavior,1
867,Neuroscience letters,1
868,Materials today. Bio,2
869,Botanical studies,2
870,Molecular biology reports,1
871,Microbes and infection,2
872,"Cerebral cortex (New York, N.Y. : 1991)",1
873,Annals of translational medicine,2
874,Genome informatics. International Conference on Genome Informatics,1
875,Genes to cells : devoted to molecular &amp; cellular mechanisms,4
876,Inflammation,1
877,Biochimica et biophysica acta. Gene regulatory mechanisms,1
878,American journal of ophthalmology case reports,1
879,Hereditas,1
